"HolderAddress","Balance","PendingBalanceUpdate"
"0x88d860e836b8c843192b1d59db661ea3acdcf7a4","730,997.789084563","No"
"0x76a8e055796ff5dcb2a8558920e2189c17f6a83d","729,583.087736421","No"
"0x9acfed699dd010bb7e3ba31b49eb150ea2800ec5","725,287.079823123","No"
"0xa329876089882f09811642d8b19b22da267c4ad0","724,619.460581546","No"
"0x82b8e8f2315d268b79e59df8ad8f923ef8451157","717,720.982436844","No"
"0x359c5bcf77bcf7c48ecb20e3baf595d84761af07","693,123.30711945","No"
"0xbefe47242ec9979466f6fb08809d720b5640c2d4","692,701.8476256","No"
"0x6655ef1fed39966d7b5ba527efe3d9bfe94a5446","681,589.812133424","No"
"0x81d0c395b11be28998f1e3d7666bddf18378a762","677,706.028902275","No"
"0x38d4ca0c9e3c31637d4b177f773f6308a354d319","675,100.077532683","No"
"0x3c2d9f8272d7d096d84069a07cda430f1d2c0bf3","671,411.30508087","No"
"0xc200cd99e35018cb63b36a5b538d651af17e7bca","663,484.6","No"
"0x95f7fcadc8ecbfe4f4aaa28b44d9995671b036fd","650,771.228712816","No"
"0xa920406e875d138664e99bf59ff89a9a29516c92","640,794.8586513","No"
"0x092160f28eca08e13a9065dc680a090e43f25fc1","613,536.323361457","No"
"0xf9e8ff22080ab7ec4b04edd53707feabf16a77bd","596,763.210433681","No"
"0x1f95e47c455a098a6bf2e79f8f6c22be555889e3","594,552.281794641","No"
"0xc637cd154e9a86e85fec94451fb53989aa5f0ad2","574,351.31","No"
"0x7a9a49b5428868afc28a3aae310937520f9889df","565,439.868466544","No"
"0x373b977bf7f7dfd9944d1b23d3d39cdac959ac3e","559,042.4","No"
"0xbd09a1a8aa09e8f2abafeffcc074cb02d61b7576","542,371.901106003","No"
"0xb5b6ec988f1fa4660ed5265acd0f39636e2a5e2d","510,000","No"
"0x0a5d2ddd750f226b65cfebd88a4dcea09303ab65","504,018","No"
"0x45efcbf907c1215ff93419288588a4ba8f665afa","500,000.988534101","No"
"0xc6c5d8883e8580fca5163de845fb5f7f7f69917a","498,026.5","No"
"0x3e0f0940f44f9a96daa81b7707d90ee408e6dbe4","490,000","No"
"0xfb6c015c9f4e7543ee67785a2e14a63df640a28d","487,702","No"
"0x5b4248b592f9f4efd1eeec0c8cd8149e079058d6","486,578.295793892","No"
"0x392cd8c12ed9f5efed7eaf333d83dbb1a5bfa2e3","484,372.159751916","No"
"0x1759ef02a988165ac4b6644df98cbff1ee1c8822","472,744.634611621","No"
"0x0a880c5c84bce72248f051fdf5a7262ca7422890","460,753.3","No"
"0xacd791992f8a1676a0f9450d72ae07ba2b4e4d9b","446,352","No"
"0x503c46c821afb4da9d703d0ae9abfe67ce75cb9a","440,598.467188707","No"
"0x9046341cf868d3f0266c24405cfdec0c18621f63","379,853.373479117","No"
"0x35f7a9b2eecb708ecdd83e7dd3e5758050ac8995","379,170","No"
"0x14bc8c796a183b2e5bfc764bb7148b7b1662e9c6","376,954.681207964","No"
"0x0ee8e39ca7664086b447508343303d2eeb40b2fc","354,900.16908481","No"
"0xc2703822fb13c3cb09a6efa9c6eca62a5ecd04dd","353,469.358679619","No"
"0xc8e83d3591a25439c78a59bad337cfccbce154ad","347,717.523458742","No"
"0xb0788496eee6fc975c058a73c3258c2fd4b035ee","342,483.709364245","No"
"0xfd0b0e0e1962e6f06ef612d6276a8d02e83050b3","340,414","No"
"0xf25b41c3cd23c44ca1d9fc67c83999987bca6349","329,242.793563649","No"
"0xef05df42e2aeed2b5f1913c15fbbf40ec71ea030","326,238.587982974","No"
"0xdb951070d3402c4f53878ec4e41e977a4b83da7b","316,829.618680254","No"
"0x0ff2e658c8e20362314f863815959c25219cc467","291,017.067840002","No"
"0x2237fa4ffe85303d9b6dab520189add9afc00e65","279,775.900301763","No"
"0xf890ac53104f720bd5e3d4d40556c21fa3a37e84","278,607.9","No"
"0x6343c28a2860beb893bbf476efcdc91ba7fabb2b","265,678.765997365","No"
"0x03edf99fb7fdca790dafc7519b9f063af2521fff","260,791.070485478","No"
"0x9e31c601e66727a38e4abe1504a082d2b0654345","258,584.939370951","No"
"0x628a40343f5b7ac3256a588be3bc1eeccb67bbae","256,328.154665996","No"
"0x6922b0927b54244876da3e91146adbfa67885ec7","252,783","No"
"0xa2563de4ab2dba9a041960630d8bda82de4685f9","251,347.208150158","No"
"0x16952a87176b50d2c08a6a8c73e56cb000ad1ec0","250,000","No"
"0xfc239a49c29bd1374fabe731f81664f067303030","249,908.783330334","No"
"0x735f5f57ed2baa957fc1500f4447dc5be3d4a3be","241,138.192489429","No"
"0x5a4affc3e881cd9ccd8f9c25c6212c4a02df27bf","231,529.398484452","No"
"0xf7b7344064fe7df25b762fc3956cb2d3a8cb7a69","217,187.666577249","No"
"0x5d00502c5c0d1695e4f4c044f57f92172f6c7eb9","216,405.617443947","No"
